" Mike Quigley",2016,IL05,1010343,67.8," D",1014942
" Warren Grimsley",2016,IL05,4599,0," 3",1014942
" Peter Roskam",2016,IL06,2988266,59.2," R",3082209
" Amanda Howland",2016,IL06,93943,40.8," D",3082209
" Danny K Davis",2016,IL07,552638,0," D",552638
" Raja Krishnamoorthi",2016,IL08,3562107,58.3," D",3838812
" Peter Dicianni",2016,IL08,273875,0," R",3838812
" William Fraser",2016,IL08,2830,0," I",3838812
" Jan Schakowsky",2016,IL09,1365195,66.5," D",1563525
" Joan McCarthy Lasonde",2016,IL09,198330,33.5," R",1563525
" Bob Dold",2016,IL10,5410425,47.4," R",10482033
" Brad Schneider",2016,IL10,5071608,52.6," D",10482033
" Bill Foster",2016,IL11,2886538,60.4," D",3633439
" Tonia Khouri",2016,IL11,746901,39.6," R",3633439
" Mike Bost",2016,IL12,2313250,54.3," R",3313586
" Charles John Baricevic",2016,IL12,1000336,0," D",3313586
" Rodney Davis",2016,IL13,2626499,59.7," R",2678203
" Mark Wicklund",2016,IL13,26683,40.3," D",2678203
" David Gill",2016,IL13,25021,0," I",2678203
" Randy Hultgren",2016,IL14,1179173,59.3," R",1199112
" Jim Walz",2016,IL14,19939,40.7," D",1199112
" John M Shimkus",2016,IL15,3199189,0," R",3199189
" Adam Kinzinger",2016,IL16,1820746,99.9," R",1820746
" Cheri Bustos",2016,IL17,3504463,60.3," D",3504463
" Darin LaHood",2016,IL18,2529337,72.1," R",2587907
" Junius Rodriguez",2016,IL18,58570,27.9," D",2587907
" Pete Visclosky",2016,IN01,1009761,81.5," D",1009761
" Jackie Walorski",2016,IN02,1890177,59.3," R",2545784
" Lynn Coleman",2016,IN02,655607,36.9," D",2545784
" Jim Banks",2016,IN03,1741953,70.1," R",1741953
" Steven Mayoras",2016,IN04,1907,0," L",1431509
" Todd Rokita",2016,IN04,1429602,64.6," R",1431509
" Susan Brooks",2016,IN05,1725754,61.5," R",1881168
" Angela Demaree",2016,IN05,147943,34.3," D",1881168
" Matthew Wittlief",2016,IN05,7471,0," L",1881168
" Luke Messer",2016,IN06,1939107,69.1," R",1944758
" Barry Welsh",2016,IN06,5651,26.7," D",1944758
" Andre Carson",2016,IN07,1116364,0," D",1122394
" Catherine Ping",2016,IN07,6030,0," R",1122394
" Larry Bucshon",2016,IN08,978513,63.7," R",1004580
" Andrew Thompson",2016,IN08,16297,0," L",1004580
" Ron Drake",2016,IN08,9770,31.7," D",1004580
" Trey Hollingsworth",2016,IN09,3556124,54.1," R",4992186
" Shelli Yoder",2016,IN09,1436062,40.5," D",4992186
" Rod Blum",2016,IA01,1897637,53.8," R",4762056
" Monica Vernon",2016,IA01,2864419,46.2," D",4762056
" David Loebsack",2016,IA02,1608466,0," D",1825059
" Christopher Peters",2016,IA02,216593,46.3," R",1825059
" David Young",2016,IA03,2492691,53.5," R",4430474
" Jim Mowrer",2016,IA03,1937783,39.8," D",4430474
" Steven A King",2016,IA04,944683,0," R",1104309
" Kim Weaver",2016,IA04,159626,38.7," D",1104309
" Roger Marshall",2016,KS01,1506821,65.8," R",1639264
" Alan LaPolice",2016,KS01,132443,26.2," I",1639264
" Lynn Jenkins",2016,KS02,2193765,60.9," R",2193765
" Kevin Yoder",2016,KS03,3223942,51.3," R",3797176
" Jay Sidie",2016,KS03,573234,40.6," D",3797176
" Mike Pompeo",2016,KS04,1451695,61.6," R",1813440
" Dan Giroux",2016,KS04,262986,29.6," D",1813440
" Miranda Allen",2016,KS04,98759,0," I",1813440
" James Comer",2016,KY01,1053372,72.6," R",1067997
" Samuel Lewis Gaskins",2016,KY01,14625,0," D",1067997
" Brett Guthrie",2016,KY02,1719574,100," R",1719574
" John A Yarmuth",2016,KY03,690576,0," D",698101
" Harold Bratcher",2016,KY03,7525,36.5," R",698101
" Thomas Massie",2016,KY04,463955,71.3," R",463955
" Hal Rogers",2016,KY05,1314305,100," R",1315455
" John Burk Jr",2016,KY05,1150,0," R",1315455
" Andy Barr",2016,KY06,2519652,61.1," R",2973841
" Nancy Jo Kemper",2016,KY06,454189,38.9," D",2973841
" Steve Scalise",2016,LA01,3565928,74.6," R",3573637
" Danil Faust",2016,LA01,7709,0," D",3573637
" Cedric Richmond",2016,LA02,1399143,69.8," D",1452893
" Kip Holden",2016,LA02,53750,20.1," D",1452893
" Scott Angelle",2016,LA03,1780889,28.5," R",3825401
" Gus Rantz",2016,LA03,706670,8," R",3825401
" Greg Ellison",2016,LA03,508609,7.8," R",3825401
" Clay Higgins",2016,LA03,403655,26.5," R",3825401
" Erick Knezek",2016,LA03,179515,0," R",3825401
" Brett Geymann",2016,LA03,139365,6.8," R",3825401
" Grover Rees",2016,LA03,90437,0," R",3825401
" Larry Rader",2016,LA03,16261,8.7," D",3825401
" Mike Johnson",2016,LA04,1133112,24.7," R",4397677
" Elbert Guillory",2016,LA04,1101369,7.3," R",4397677
" Trey Baucum",2016,LA04,779534,17.6," R",4397677
" Oliver Jenkins",2016,LA04,752995,15.6," R",4397677
" J Marshall Jones Jr.",2016,LA04,451167,0," D",4397677
" Rick John",2016,LA04,179500,0," R",4397677
" Ralph Abraham",2016,LA05,577493,81.6," R",577493
" Garret Graves",2016,LA06,1925196,62.7," R",1928139
