Mike Honda (Democratic) 39.0%[117]
Anna Eshoo (Democratic) 71.1%[102]
Richard Fox (Republican) 28.9%
Zoe Lofgren (Democratic) 73.9%[102]
G. Burt Lancaster (Republican) 26.1%
Jimmy Panetta (Democratic) 70.8%[118]
Casey Lucius (Republican) 29.2%[119]
David Valadao (Republican) 56.7%[120]
Emilio Huerta (Democratic) 43.3%[121]
Devin Nunes (Republican) 67.6%[120]
Louie Campos (Democratic) 32.4%[102]
Kevin McCarthy (Republican) 69.2%[122]
Wendy Reed (Democratic) 30.8%[102]
Salud Carbajal (Democratic) 53.4%[123]
Justin Fareed (Republican) 46.6%[124]
Steve Knight (Republican) 53.1%[125]
Bryan Caforio (Democratic) 46.9%[126]
Julia Brownley (Democratic) 60.4%[102]
Rafael Dagnesses (Republican) 39.6%[127]
Judy Chu (Democratic) 67.4%[102]
Jack Orswell (Republican) 32.6%[128]
Adam Schiff (Democratic) 78.0%[129]
Lenore Solis (Republican) 22.0%
Tony Cárdenas (Democratic) 74.7%[102]
Richard Alarcon (Democratic) 25.3%[130]
Brad Sherman (Democratic) 72.6%[102]
Mark Reed (Republican) 27.4%
Pete Aguilar (Democratic) 56.1%[131]
Paul Chabot (Republican) 43.9%[132]
Grace Napolitano (Democratic) 61.6%[133]
Roger Hernandez (Democratic) 38.4%
Ted Lieu (Democratic) 66.4%[102]
Kenneth Wright (Republican) 33.6%
Xavier Becerra (Democratic) 77.2%[134]
Adrienne Edwards (Democratic) 22.8%
Norma Torres (Democratic) 72.4%[102]
Tyler Fischella (Republican) 27.6%[128]
Raul Ruiz (Democratic) 62.1%[102]
Jeff Stone (Republican) 37.9%[135]
Karen Bass (Democratic) 81.1%[136]
Chris Wiggins (Democratic) 18.9%[137]
Linda Sánchez (Democratic) 70.5%[102]
Ryan Downing (Republican) 29.5%
Ed Royce (Republican) 57.2%[128]
Brett Murdock (Democratic) 42.8%[138]
Lucille Roybal-Allard (Democratic) 71.4%[102]
Roman Gabriel Gonzalez (No Party Preference) 28.6%
Mark Takano (Democratic) 65.0%[139]
Doug Shepherd (Republican) 35.0%[140]
Ken Calvert (Republican) 58.8%
Tim Sheridan (Democratic) 41.2%[141]
Maxine Waters (Democratic) 76.1%[102]
Omar Navarro (Republican) 23.9%
Nanette Barragán (Democratic) 52.2%[142]
"Isadore Hall, III (Democratic) 47.8%[143]"
Mimi Walters (Republican) 58.6%[144]
Ron Varasteh (Democratic) 41.4%[102]
Lou Correa (Democratic) 70.0%[145]
Bao Nguyen (Democratic) 30.0%[146]
Alan Lowenthal (Democratic) 63.7%[102]
Andy Whallon (Republican) 36.3%[147]
Dana Rohrabacher (Republican) 58.3%[144]
Suzanne Savary (Democratic) 41.7%[102]
Darrell Issa (Republican) 50.3%[144]
Doug Applegate (Democratic) 49.7%[148]
Duncan D. Hunter (Republican) 63.5%
Patrick Malloy (Democratic) 36.5%[102]
Juan Vargas (Democratic) 72.8%[102]
Juan Hidalgo (Republican) 27.2%
Scott Peters (Democratic) 56.5%[102]
Denise Gitsham (Republican) 43.5%[149]
Susan Davis (Democratic) 67.0%[102]
James Veltmeyer (Republican) 33.0%
Diana DeGette (Democratic) 67.9%
Casper Stockham (Republican) 27.7%[150]
Darrell Dinges (Libertarian) 4.4%[151]
Jared Polis (Democratic) 56.9%[152]
Nic Morse (Republican) 37.2%[152]
Richard Longstreth (Libertarian) 5.9%[151]
Scott Tipton (Republican) 54.6%[153]
Gail Schwartz (Democratic) 40.4%[154]
Gaylon Kent (Libertarian) 5.0%[151]
Ken Buck (Republican) 63.6%[155]
Bob Seay (Democratic) 31.5%[156]
Bruce Griffith (Libertarian) 4.8%[151]
Donald Howbert (Write-in)[157]
Doug Lamborn (Republican) 62.3%[158]
Misty Plowright (Democratic) 30.8%[158]
Mike McRedmond (Libertarian) 6.9%[151]
Curtis Imrie (write-in)[159]
Mike Coffman (Republican) 50.9%[160]
Morgan Carroll (Democratic) 42.6%[161]
Norm Olsen (Libertarian) 5.0%[151]
Robert Lee Worthey (Green) 1.5%[162]
Ed Perlmutter (Democratic) 55.2%
George Athanasopoulos (Republican) 39.8%[163]
Martin Buchanan (Libertarian) 5.0%[151]
John Larson (Democratic) 64.1%[164]
Matthew Corey (Republican) 33.8%[165]
Mike DeRosa (Green) 2.11%[166]
Joe Courtney (Democratic) 63.2%[164]
Daria Novak (Republican) 33.7%[165]
Dan Reale (Libertarian) 1.5%[167]
Jonathan Pelto (Green) 1.6%[168]
Rosa DeLauro (Democratic) 69.0%[164]
Angel Cadena (Republican) 31.0%[165]
Jim Himes (Democratic) 59.9%[164]
John Shaban (Republican) 40.1%[165]
Elizabeth Esty (Democratic) 58.0%[164]
Clay Cope (Republican) 42.0%[165]
John Pistone (Independent) 0.01%[169]
Lisa Blunt Rochester (Democratic) 55.5%[170]
Hans Reigle (Republican) 41.0%[171]
Scott Gesty (Libertarian) 1.5%[172]
Mark Perri (Green) 2.0%[173]
Matt Gaetz (Republican) 69.1%[174]
Steven Specht (Democratic) 30.9%[175]
Neal Dunn (Republican) 67.3%[176]
Walter Dartland (Democratic) 29.9%[177]
Rob Lapham (Libertarian) 2.7%[178]
Ted Yoho (Republican) 56.6%[179]
Ken McGurn (Democratic) 39.8%[177]
John Rutherford (Republican) 70.2%[180]
David E. Bruderly (Democratic) 27.6%[177]
Al Lawson (Democratic) 64.2%[181]
Glo Smith (Republican) 35.8%[182]
Ron DeSantis (Republican) 58.6%[183]
Bill McCullough (Democratic) 41.4%[184]
Stephanie Murphy (Democratic) 51.5%[185]
John Mica (Republican) 48.5%[186]
Bill Posey (Republican) 63.1%[187]
Corry Westbrook (Democratic) 32.6%[188]
Darren Soto (Democratic) 57.5%[189]
Wayne Liebnitzky (Republican) 42.5%[190]
Val Demings (Democratic) 64.9%[191]
Thuy Lowe (Republican) 35.1%[192]
Dan Webster (Republican) 65.4%[193]
Dave Koller (Democratic) 31.6%[194]
Gus Bilirakis (Republican) 68.6%[195]
Robert Tager (Democratic) 31.4%[195]
Charlie Crist (Democratic) 51.9%[196]
David Jolly (Republican) 48.1%[197]
Kathy Castor (Democratic) 61.8%[198]
Christine Quinn (Republican) 38.2%[199]
Dennis Ross (Republican) 57.5%[200]
Jim Lange (Democratic) 42.5%[201]
Vern Buchanan (Republican) 59.8%[202]
Jan Schneider (Democratic) 40.2%[203]
Tom Rooney (Republican) 61.8%[204]
April Freeman (Democratic) 34.2%[205]
Brian Mast (Republican) 53.6%[206]
Randy Perkins (Democratic) 43.1%[207]
Francis Rooney (Republican) 65.9%[208]
Robert Neeld (Democratic) 34.1%[209]
Alcee Hastings (Democratic) 80.3%[210]
Gary Stein (Republican) 19.7%[177]
Lois Frankel (Democratic) 62.7%[211]
Paul Spain (Republican) 35.1%[212]
Ted Deutch (Democratic) 58.9%[211]
Andrea Leigh McGee (Republican) 41.1%[213]
Debbie Wasserman Schultz (Democratic) 56.7%[214]
Joe Kaufman (Republican) 40.5%[215]
Frederica Wilson (Democratic) 100%[216]
Mario Díaz-Balart (Republican) 62.4%[198]
Alina Valdes (Democratic) 37.6%[217]
Carlos Curbelo (Republican) 53.0%[218]
Joe Garcia (Democratic) 41.2%[219]
Ileana Ros-Lehtinen (Republican) 54.9%[220]
Scott Fuhrman (Democratic) 45.1%[221]
Buddy Carter (Republican) 100%[222]
Sanford Bishop (Democratic) 61.2%[223]
Greg Duke (Republican) 38.8%[224]
Drew Ferguson (Republican) 68.4%[225]
Angela Pendley (Democratic) 31.6%[226]
Hank Johnson (Democratic) 75.7%[227]
Victor Armendariz (Republican) 24.3%[228]
John Lewis (Democratic) 84.4%[229]
Douglas Bell (Republican) 15.6%[230]
Tom Price (Republican) 61.7%[231]
Rodney Stooksbury (Democratic) 38.3%[232]
Rob Woodall (Republican) 60.4%[233]
Rashid Malik (Democratic) 39.6%[233]
Austin Scott (Republican) 67.6%[234]
James Harris (Democratic) 32.4%[235]
Doug Collins (Republican) 100%[233]
Jody Hice (Republican) 100%[232]
Barry Loudermilk (Republican) 67.4%[231]
Don Wilson (Democratic) 32.6%[222]
Rick Allen (Republican) 61.6%[231]
Tricia McCracken (Democratic) 38.4%[235]
David Scott (Democratic) 100%[236]
Tom Graves (Republican) 100%[237]
Colleen Hanabusa (Democratic) 71.9%
Shirlene D. Ostrov (Republican) 22.7%
Alan Yim (Libertarian) 3.3%[238]
Tulsi Gabbard (Democratic) 81.2%
Angela Kaaihue (Republican) 18.8%
Raúl Labrador (Republican) 68.2%[239]
James Piotrowski (Democratic) 31.8%[240]
Mike Simpson (Republican) 62.9%[241]
Jennifer Martinez (Democratic) 29.4%[242]
Bobby Rush (Democratic) 74.1%[243]
August Deuser (Republican) 25.9%[244]
Robin Kelly (Democratic) 79.8%[245]
John Morrow (Republican) 20.2%[246]
Dan Lipinski (Democratic) 100%[247]
Luis Gutiérrez (Democratic) 100%[248]
Mike Quigley (Democratic) 67.8%[249]
Vince Kolber (Republican) 27.5%[250]
Rob Sherman (Green) 4.7%[250]
Peter Roskam (Republican) 59.2%[251]
Amanda Howland (Democratic) 40.8%[251]
Danny Davis (Democratic) 84.2%[252]
Jeffrey Leef (Republican) 15.8%[253]
Raja Krishnamoorthi (Democratic) 58.3%[254]
Pete DiCianni (Republican) 41.7%[255]
Jan Schakowsky (Democratic) 66.5%[256]
Joan McCarthy Lasonde (Republican) 33.5%[256]
Brad Schneider (Democratic) 52.6%[257]
Bob Dold (Republican) 47.4%[258]
Bill Foster (Democratic) 60.4%[259]
Tonia Khouri (Republican) 39.6%[260]
Mike Bost (Republican) 54.3%[261]
C.J. Baricevic (Democratic) 39.7%[262]
Paula Bradshaw (Green) 6.0%[263]
Rodney Davis (Republican) 59.7%[264]
Mark Wicklund (Democratic) 40.3%[265]
Randy Hultgren (Republican) 59.3%[266]
Jim Walz (Democratic) 40.7%[266]
John Shimkus (Republican) 100%[264]
Adam Kinzinger (Republican) 99.9%[267]
Cheri Bustos (Democratic) 60.3%[268]
Patrick Harlan (Republican) 39.7%[269]
Darin LaHood (Republican) 72.1%[270]
Junius Rodriguez (Democratic) 27.9%[271]
Pete Visclosky (Democratic) 81.5%[272]
Donna Dunn (Libertarian) 18.5%[273]
Jackie Walorski (Republican) 59.3%[274]
Lynn Coleman (Democratic) 36.9%[275]
Ron Cenkush (Libertarian) 3.8%[273]
Jim Banks (Republican) 70.1%[276]
Tommy Schrader (Democratic) 23.0%[277]
Pepper Snyder (Libertarian) 6.9%[273]
Todd Rokita (Republican) 64.6%[278]
John Dale (Democratic) 30.5%[279]
Steven Mayoras (Libertarian) 4.9%[273]
Susan Brooks (Republican) 61.5%[280]
Angela Demaree (Democratic) 34.3%[281]
Matthew Wittlief (Libertarian) 4.2%[273]
Luke Messer (Republican) 69.1%[282]
Barry Welsh (Democratic) 26.7%[279]
Rich Turvey (Libertarian) 4.2%[273]
André Carson (Democratic) 60.0%[279]
Cat Ping (Republican) 35.7%[279]
Drew Thompson (Libertarian) 4.3%[273]
Larry Bucshon (Republican) 63.7%[279]
Ron Drake (Democratic) 31.7%[279]
Andrew Horning (Libertarian) 4.6%[273]
Trey Hollingsworth (Republican) 54.1%[283]
Shelli Yoder (Democratic) 40.5%[284]
Russell Brooksbank (Libertarian) 5.4%[273]
Rod Blum (Republican) 53.8%[285]
Monica Vernon (Democratic) 46.2%[286]
Dave Loebsack (Democratic) 53.7%[287]
Christopher Peters (Republican) 46.3%[288]
David Young (Republican) 53.5%[289]
Jim Mowrer (Democratic) 39.8%[290]
Bryan Jack Holder (Libertarian)[291]
Steve King (Republican) 61.3%[292]
Kim Weaver (Democratic) 38.7%[293]
Roger Marshall (Republican) 65.8%[294]
Kerry Burt (Libertarian) 7.5%[295]
Alan LaPolice (Independent) 26.2%
Lynn Jenkins (Republican) 60.9%[296]
Britani Potter (Democratic) 32.5%[297]
James Houston Bales (Libertarian) 6.5%[295]
Kevin Yoder (Republican) 51.3%
Jay Sidie (Democratic) 40.6%[298]
Steven Hohe (Libertarian) 8.0%[295]
Mike Pompeo (Republican) 61.6%[296]
Dan Giroux (Democratic) 29.6%[299]
Gordon J. Bakken (Libertarian) 2.8%[295]
James Comer (Republican) 72.6%[300]
Sam Gaskins (Democratic) 27.4%[301]
Brett Guthrie (Republican) 100%[302]
John Yarmuth (Democratic) 63.5%[303]
Harold Bratcher (Republican) 36.5%[304]
Thomas Massie (Republican) 71.3%[305]
Calvin Sidle (Democratic) 28.7%[304]
Hal Rogers (Republican) 100%[306]
Andy Barr (Republican) 61.1%[307]
Nancy Jo Kemper (Democratic) 38.9%[308]
Steve Scalise (Republican) 74.6%[309]
Lee Ann Dugas (Democratic) 12.8%[309]
Danil Ezekiel Faust (Democratic) 3.9%[309]
"Joseph ""Joe"" Swider (Democratic) 2.8%[309]"
Howard Kearney (Libertarian) 3%[310]
Cedric Richmond (Democratic) 69.8%[311]
Kip Holden (Democratic) 20.1%[312]
Kenneth Cutno (Democratic) 10.1%[309]
Clay Higgins (Republican) 26.5%[313]
Scott Angelle (Republican) 28.5%[314]
Brian Barrilleaux (Republican) 1.9%[309]
Greg Ellison (Republican) 7.8%[315]
Brett Geymann (Republican) 6.8%[316]
"Jacob ""Dorian Hibian"" Hebert (Democratic) 8.9%[309]"
Larry Rader (Democratic) 8.7%[309]
Gus Rantz (Republican) 8.0%[317]
Grover Rees (Republican) 0.8%[318]
Herman Vidrine (Republican) <1%[309]
Guy McLendon (Libertarian) 1%[310]
Mike Johnson (Republican) 24.7%[319]
Trey Baucum (Republican) 17.6%[320]
Elbert Guillory (Republican) 7.3%[321]
Oliver Jenkins (Republican) 15.6%[322]
Rick John (Republican) 4.6%[323]
Marshall Jones (Democratic) 28.2%[309]
Ralph Abraham (Republican) 81.6%[309]
Billy Burkette (Republican) 18.4%[309]
Garret Graves (Republican) 62.7%[309]
"Robert Lamar ""Bob"" Bell (Republican) 10.1%[309]"
Richard Lieberman (Democratic) 14.9%[309]
Jermaine Sampson (Democratic) 9.0%[309]
Richard Fontanesi (Libertarian) 2%[310]
Chellie Pingree (Democratic) 58.0%[324]
Mark Holbrook (Republican) 42.0%[324]
Bruce Poliquin (Republican) 54.8%[325]
Emily Cain (Democratic) 45.2%[326]
Andy Harris (Republican) 67.0%[327]
Joe Werner (Democratic) 28.6%[328]
Matt Beers (Libertarian) 4.2%[329]
Dutch Ruppersberger (Democratic) 62.1%[330]
Pat McDonough (Republican) 33.1%[331]
Kristin Kasprzak (Libertarian) 4.6%[329]
John Sarbanes (Democratic) 63.2%[332]
Mark Plaster (Republican) 33.9%[333]
Eze Nnabu (Green) 2.8%[329]
Anthony G. Brown (Democratic) 74.1%[334]
George McDermott (Republican) 21.4%[335]
Ben Krause (Libertarian) 1.8%[329]
Kamesha Clark (Green) 2.6%[329]
Steny Hoyer (Democratic) 67.4%[336]
Mark Arness (Republican) 29.4%
Jason Summers (Libertarian) 3.1%[329]
John Delaney (Democratic) 56.0%[337]
Amie Hoeber (Republican) 40.1%[338]
David Howser (Libertarian) 2.1%[329]
George Gluck (Green) 1.8%[329]
Elijah Cummings (Democratic) 74.9%[339]
Corrogan Vaughn (Republican) 21.8%[336]
Myles Hoenig (Green) 3.0%[329]
Jamie Raskin (Democratic) 60.6%[340]
Dan Cox (Republican) 34.2%[341]
Jasen Wunder (Libertarian) 2.0%[329]
Nancy Wallace (Green) 3.1%[329]
Richard Neal (Democratic) 73.3%[342]
Frederick Mayock (Independent) 17.9%
Thomas Simmons (Libertarian) 8.6%[343]
Jim McGovern (Democratic) 98.2%[344]
Niki Tsongas (Democratic) 68.7%[342]
Ann Wofford (Republican) 31.2%[345]
Joe Kennedy (Democratic) 70.1%[346]
David Rosa (Republican) 29.8%[345]
Katherine Clark (Democratic) 98.6%[347]
Seth Moulton (Democratic) 98.4%[348]
Mike Capuano (Democratic) 98.6%[342]
Stephen Lynch (Democratic) 72.4%[342]
William Burke (Republican) 27.5%[349]
Bill Keating (Democratic) 55.7%[342]
Mark Alliegro (Republican) 33.6%[350]
Paul Harrington (Independent) 6.9%
Jack Bergman (Republican) 54.9%[351]
Lon Johnson (Democratic) 40.1%[352]
Diane Bostow (Libertarian) 3.7%[353]
Ellis Boal (Green) 1.3%[353]
Bill Huizenga (Republican) 62.6%[354]
Dennis B. Murphy (Democratic) 32.5%[355]
Erwin Haas (Libertarian) 2.4%[353]
Matthew Brady (Green) 1.6%[353]
Justin Amash (Republican) 59.5%[354]
Douglas Smith (Democratic) 37.5%[354]
John Moolenaar (Republican) 61.6%[356]
Debra Wirth (Democratic) 32.1%[353]
Leonard Schwartz (Libertarian) 2.7%[353]
Jordan Salvi (Green) 1.3%[353]
Dan Kildee (Democratic) 61.2%[357]
Al Hardwick (Republican) 35.1%[354]
Steve Sluka (Libertarian) 2.2%[353]
Harley Mikkelson (Green) 1.5%[353]
Fred Upton (Republican) 58.7%[358]
Paul Clements (Democratic) 36.4%[359]
Lorence Wenke (Libertarian) 4.9%[353]
Tim Walberg (Republican) 55.0%[354]
Gretchen Driskell (Democratic) 40.0%[360]
Ken Proctor (Libertarian) 4.9%[353]
Mike Bishop (Republican) 56.0%[361]
Suzanna Shkreli (Democratic) 39.2%[362]
Jeff Wood (Libertarian) 2.6%[353]
Maria Green (Green) 1.6%[353]
Sander Levin (Democratic) 57.9%[363]
Christopher Morse (Republican) 37.4%[354]
Matt Orlando (Libertarian) 2.8%[353]
John McDermott (Green) 1.9%[353]
Paul Mitchell (Republican) 63.1%[364]
Frank Accavitti Jr. (Democratic) 32.3%[365]
Lisa Gioia (Libertarian) 3.1%[353]
Benjamin Nofs (Green) 1.5%[353]
Dave Trott (Republican) 52.9%[354]
Anil Kumar (Democratic) 40.2%[366]
Jonathan Osment (Libertarian) 2.5%[353]
Kerry Bentivolio (Independent) 4.4%[367]
Debbie Dingell (Democratic) 64.3%[368]
Jeff Jones (Republican) 29.3%[354]
Tom Bagwell (Libertarian) 2.3%[353]
Dylan Calewarts (Green) 1.3%[353]
John Conyers (Democratic) 77.1%[369]
Jeff Gorman (Republican) 15.7%[354]
Tiffany Hayden (Libertarian) 3.8%[353]
Brenda Lawrence (Democratic) 78.5%[354]
Howard Klausner (Republican) 18.7%[354]
Greg Creswell (Libertarian) 1.6%[353]
Marcia Squier (Green) 1.2%[353]
Tim Walz (Democratic) 50.3%[370]
Jim Hagedorn (Republican) 49.6%[371]
Jason Lewis (Republican) 47%[372]
Angie Craig (Democratic) 45.2%[373]
Erik Paulsen (Republican) 56.7%[374]
Terri Bonoff (Democratic) 43%[375]
Tim Sherno (Independent Write-in) 0.3%[376]
Betty McCollum (Democratic) 57.8%[374]
Greg Ryan (Republican) 34.4%[377]
Susan Sindt (Legal Marijuana Now) 7.7%[374]
Keith Ellison (Democratic) 69.1%[374]
Frank Nelson Drake (Republican) 22.3%[374]
Dennis Schuller (Legal Marijuana Now) 8.5%[374]
Tom Emmer (Republican) 65.6%[378]
David Snyder (Democratic) 34.3%[379]
Collin Peterson (Democratic) 52.5%[380]
Dave Hughes (Republican) 47.4%[381]
Rick Nolan (Democratic) 50.2%[382]
Stewart Mills (Republican) 49.6%[383]
Trent Kelly (Republican) 68.7%[384]
Jacob Owens (Democratic) 27.9%[385]
Chase Wilson (Libertarian) 2.1%[386]
Bennie Thompson (Democratic) 67.1%[385]
John Bouie II (Republican) 29.1%[384]
Gregg Harper (Republican) 66.2%[384]
Dennis Quinn (Democratic) 30.4%[384]
Steven Palazzo (Republican) 65.0%[384]
Mark Gladney (Democratic) 27.8%[385]
Ric McCluskey (Libertarian) 5.3%[386]
Lacy Clay (Democratic) 75.5%[387]
Steven G. Bailey (Republican) 20.0%
Robb Cunningham (Libertarian) 4.6%[388]
Ann Wagner (Republican) 58.5%[389]
Jim Higgins (Libertarian) 2.9%[390]
Bill Otto (Democratic) 37.7%[391]
Blaine Luetkemeyer (Republican) 67.8%[392]
Kevin Miller (Democratic) 27.9%
Dan Hogan (Libertarian) 3.3%[393]
Vicky Hartzler (Republican) 67.8%[394]
Gordon Christensen (Democratic) 27.8%[395]
Mark Bliss (Libertarian) 4.3%[396]
Emanuel Cleaver (Democratic) 58.8%[397]
Jacob Turk (Republican) 38.2%[398]
Roy Welborn (Libertarian) 3.0%[399]
Sam Graves (Republican) 68.0%
David Blackwell (Democratic) 28.4%[400]
Russ Monchil (Libertarian) 2.3%[401]
Billy Long (Republican) 67.5%[402]
Genevieve Williams (Democratic) 27.4%
Benjamin Brixey (Libertarian) 5.1%[403]
Jason T. Smith (Republican) 74.4%[404]
Dave Cowell (Democratic) 22.7%
Jonathan Shell (Libertarian) 2.9%[405]
Ryan Zinke (Republican) 56.2%[406]
Denise Juneau (Democratic) 40.5%[407]
Rick Breckenridge (Libertarian) 3.3%[408]
Jeff Fortenberry (Republican) 69.5%[409]
Daniel Wik (Democratic) 30.5%[410]
Don Bacon (Republican) 48.9%[411]
Brad Ashford (Democratic) 47.7%[412]
Steven Laird (Libertarian) 3.3%[413]
Adrian Smith (Republican) 100%[409]
Dina Titus (Democratic) 61.9%[414]
Mary Perry (Republican) 28.8%[415]
Mark Amodei (Republican) 58.3%[416]
Chip Evans (Democratic) 36.9%[417]
Jacky Rosen (Democratic) 47.2%[418]
Danny Tarkanian (Republican) 46.0%[419]
Ruben Kihuen (Democratic) 48.5%[420]
Cresent Hardy (Republican) 44.5%[421]
Steve Brown (Libertarian) 3.8%[422]
Carol Shea-Porter (Democratic) 44.3%[423]
Frank Guinta (Republican) 43.0%[424]
Ann McLane Kuster (Democratic) 49.8%[425]
Jim Lawrence (Republican) 45.3%[426]
Donald Norcross (Democratic) 60.0%
Bob Patterson (Republican) 36.8%
Bill Sihr (Libertarian) 0.8%[427]
Frank LoBiondo (Republican) 59.2%
David Cole (Democratic) 37.2%
John Ordille (Libertarian) 1.3%[427]
Tom MacArthur (Republican) 59.3%[428]
Fred LaVergne (Democratic) 38.9%[429]
Chris Smith (Republican) 63.7%
Lorna Phillipson (Democratic) 33.5%
Jeremy Marcus (Libertarian) 1.0%[427]
Josh Gottheimer (Democratic) 51.1%[430]
Scott Garrett (Republican) 46.7%[431]
Claudio Belusic (Libertarian) 2.2%[427]
Frank Pallone (Democratic) 63.7%
Brent Sonnek-Schmelz (Republican) 34.9%
Judy Shamy (Libertarian) 0.7%[427]
Rajit Malliah (Green) 0.7%[432]
Leonard Lance (Republican) 54.1%
Peter Jacob (Democratic) 43.1%
Dan O'Neill (Libertarian) 1.6%[427]
Albio Sires (Democratic) 77.0%
Agha Khan (Republican) 18.5%
Dan Delaney (Libertarian) 2.0%[427]
Bill Pascrell (Democratic) 69.7%
Hector Castillo (Republican) 28.0%
Diego Rivera (Libertarian) 1.4%[427]
Donald Payne Jr. (Democratic) 85.7%
David Pinckney (Republican) 11.9%
Rodney Frelinghuysen (Republican) 58.0%
Joseph Wenzel (Democratic) 38.9%
Jeff Hetrick (Libertarian) 1.0%[427]
Bonnie Watson Coleman (Democratic) 62.9%
Steven Uccio (Republican) 32.0%
Thomas Fitzpatrick (Libertarian) 0.9%[427]
Steven Welzer (Green) 0.7%[432]
Michelle Luján Grisham (Democratic) 65.1%[433]
Richard Priem (Republican) 34.9%[434]
Steve Pearce (Republican) 62.7%[433]
Merrie Lee Soules (Democratic) 37.3%[435]
Ben Ray Luján (Democratic) 62.4%
Michael Romero (Republican) 37.6%[436]
Lee Zeldin (Republican) 58.9%[437]
Anna Throne-Holst (Democratic) 41.0%[438]
Peter King (Republican) 62.4%
DuWayne Gregory (Democratic) 37.5%[439]
Tom Suozzi (Democratic) 52.8%[440]
Jack Martins (Republican) 47.2%[441]
Kathleen Rice (Democratic) 59.5%[442]
David Gurfein (Republican) 40.4%[443]
Gregory Meeks (Democratic) 85.4%[444]
Michael O'Reilly (Republican) 13.0%[445]
Frank Francois (Green) 1.4%[446]
Grace Meng (Democratic) 72.1%[444]
Danniel S. Maio (Republican) 26.7%[444]
Nydia Velazquez (Democratic) 90.7%[444]
Allan E. Romaguera (Republican) 9.2%[444]
Hakeem Jeffries (Democratic) 93.2%[444]
Daniel Cavanagh (Conservative) 6.7%
Yvette Clarke (Democratic) 92.3%[444]
Jerry Nadler (Democratic) 78.0%[444]
Phillip Rosenthal (Republican) 21.9%[447]
